Goles, Tiros Totales, xG                  , npxG                , xAG                 , xA                  , Acciones_que_crean_tiros, Pases_intentados, Pases_progresivos, Regates_exitosos, Pases_medios_completados, Pases_largos_completados, Pases_en_ultimo_tercio, Pases_al_hueco, Pases_centros, Pases_completados, Valla_no_vencida, Errores_defnsivos_ocasion_tiro, Toques_en_zona_ofensiva, Toques_en_area_rival, %_de_regates_exitosos, Acarreos_ultimo_tercio, Pases_recibidos, Pases_progresivos_recibidos, Centros, Duelos_aereos_ganados, %_de_duelos_aereos_ganados, market_value_million_eur, age_years         , GK, DF, MF, FW, nat_Other, nat_ar ARG, nat_be BEL, nat_br BRA, nat_ch SUI, nat_ci CIV, nat_dk DEN, nat_dz ALG, nat_eng ENG, nat_es ESP, nat_fr FRA, nat_gh GHA, nat_it ITA, nat_ma MAR, nat_ml MLI, nat_ng NGA, nat_nl NED, nat_pt POR, nat_rs SRB, nat_se SWE, nat_sn SEN
    8,            88,  9.0                ,  9.0                ,  2.0                ,  2.4                ,                       76,              756,                90,               28,                      156,                       44,                     36,              6,            58,               606,                6,                              0,                     538,                  144,    35.78             ,                     20,             770,                         178,      58,                    18,         30.553333333333335,                    30.0 , 25.112328767123287,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , True      , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,             4,  0.6                ,  0.6                ,  3.6                ,  2.4                ,                       30,              218,                28,               10,                       54,                        8,                     16,              4,            10,               180,                2,                              2,                      96,                   18,    54.175            ,                     12,             206,                          18,      10,                     2,         25.0              ,                     8.0 , 27.912328767123288,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.4                ,  0.4                ,  0.0                ,  0.0                ,                       10,              324,                26,               18,                      110,                       16,                     14,              2,             2,               286,                6,                              0,                      70,                   12,    62.660000000000004,                      4,             266,                          18,       2,                    22,         83.34             ,                     8.5 , 23.295890410958904,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        1,               86,                12,                1,                       45,                        5,                     12,              0,             0,                82,                1,                              0,                       6,                    1,   100.0              ,                      0,              74,                           0,       0,                     1,         25.0              ,                    12.0 , 30.78904109589041 ,  0,  1,  0,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.3                ,  0.3                ,  0.0                ,  0.0                ,                        2,               58,                 1,                0,                       25,                        0,                      1,              0,             3,                48,                1,                              0,                      29,                    4,     0.0              ,                      3,              49,                          10,       3,                     0,          0.0              ,                     8.0 , 23.07945205479452 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , True      , False     , False     , False     , False
    4,            21,  4.7                ,  4.7                ,  0.9                ,  0.8                ,                       23,              127,                 9,                9,                       29,                        3,                      4,              1,             3,                95,                4,                              0,                     123,                   45,    40.38461538461539 ,                      9,             174,                          48,       3,                    12,         36.707692307692305,                    10.0 , 25.791780821917808,  0,  0,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            13,  0.8                ,  0.8                ,  0.2                ,  0.4                ,                       13,              195,                13,               11,                       43,                       12,                      6,              0,            21,               136,                5,                              0,                     169,                   27,    29.39090909090909 ,                      7,             193,                          68,      21,                     6,         45.45454545454545 ,                    15.0 , 23.389041095890413,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             3,  0.5                ,  0.5                ,  0.1                ,  0.1                ,                        6,              284,                32,                5,                       98,                       20,                     34,              0,             0,               210,                5,                              0,                      55,                    9,    50.0              ,                      5,             201,                           6,       0,                    10,         43.7              ,                     3.5 , 27.843835616438355,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.3                ,  0.1                ,                        5,              151,                15,                1,                       55,                       15,                     17,              1,             0,               142,                2,                              1,                      27,                    0,    16.666666666666668,                      5,             118,                           2,       0,                     0,          0.0              ,                    28.0 , 23.5013698630137  ,  0,  0,  1,  0, False    , False     , False     , True      , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             8,  0.4                ,  0.4                ,  0.4                ,  1.0                ,                       12,              718,                76,               10,                      258,                       50,                     70,              2,            10,               654,                8,                              4,                     164,                    6,    21.116666666666667,                     10,             644,                          14,      10,                    10,         58.333333333333336,                     6.0 , 31.742465753424657,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , True      , False     , False     , False
    0,             4,  0.4                ,  0.4                ,  0.0                ,  0.0                ,                        1,               23,                 0,                2,                        3,                        1,                      1,              0,             1,                17,                0,                              0,                      16,                    6,    66.66666666666667 ,                      0,              20,                           7,       1,                     2,         16.666666666666668,                     2.0 , 30.947945205479453,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False
    1,             6,  0.1                ,  0.1                ,  0.7                ,  0.7000000000000001 ,                       28,              610,                48,               14,                      216,                       36,                     38,              1,            14,               547,                6,                              3,                     158,                   18,    54.62222222222223 ,                     23,             498,                          33,      14,                     3,         20.366666666666667,                    35.0 , 25.257534246575343,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False
    2,            26,  2.5                ,  2.5                ,  0.6                ,  0.5                ,                       18,              270,                20,               10,                       59,                       10,                      9,              2,             4,               168,                6,                              1,                     144,                   48,    51.284615384615385,                      6,             297,                          55,       4,                    32,         35.37692307692308 ,                    15.0 , 25.9013698630137  ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False
    0,            20,  1.7000000000000002 ,  0.9                ,  2.7                ,  2.5                ,                       70,              545,                66,                9,                      150,                       57,                     47,              2,            92,               390,                2,                              0,                     320,                   18,    46.15384615384615 ,                     15,             395,                          48,      92,                    13,         44.23076923076923 ,                    18.0 , 29.28219178082192 ,  0,  0,  1,  0, False    , False     , False     , True      , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             3,  0.1                ,  0.1                ,  0.7                ,  0.7                ,                       18,              340,                22,               22,                      106,                       12,                     20,              1,            12,               271,                6,                              0,                     148,                   13,    55.8875           ,                     21,             263,                          40,      12,                     5,         24.7875           ,                    12.0 , 26.9013698630137  ,  0,  1,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.0                ,  0.0                ,  0.1                ,  0.2                ,                        1,              106,                10,                2,                       48,                        5,                      6,              0,             9,                95,                1,                              0,                      60,                    1,    16.65             ,                      5,              87,                          18,       9,                     0,          0.0              ,                     7.0 , 22.156164383561645,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.1                ,  0.1                ,                        1,               74,                 8,                0,                       25,                        4,                      5,              0,             3,                55,                2,                              0,                      27,                    2,     0.0              ,                      5,              53,                           6,       3,                     1,         50.0              ,                    18.0 , 31.09041095890411 ,  0,  1,  0,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    6,            16,  3.2                ,  3.2                ,  1.8                ,  0.6                ,                       24,              574,                62,               12,                      242,                       28,                     50,              6,             0,               496,                6,                              0,                      76,                   18,    71.42857142857143 ,                      4,             428,                           6,       0,                    22,         55.957142857142856,                    35.0 , 21.03835616438356 ,  0,  0,  1,  0, False    , False     , False     , True      , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            50,  3.4                ,  3.4                ,  3.4                ,  3.8000000000000003 ,                      102,             1166,               126,               48,                      288,                       32,                     64,             16,            22,               920,               14,                              0,                     586,                   64,    53.8625           ,                     74,            1084,                         126,      22,                    24,         35.83125          ,                    15.0 , 22.0              ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.1                ,  0.1                ,  0.0                ,  0.0                ,                        1,                8,                 0,                1,                        2,                        0,                      0,              0,             0,                 6,                0,                              0,                       4,                    0,   100.0              ,                      0,               5,                           1,       0,                     1,        100.0              ,                     4.0 , 24.706849315068492,  0,  0,  1,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,            45,  6.300000000000001  ,  4.7                ,  2.0                ,  1.4000000000000001 ,                       49,              433,                42,               24,                      108,                       22,                     24,              3,            11,               319,                7,                              0,                     343,                   87,    48.336000000000006,                     27,             498,                         130,      11,                    16,         33.596            ,                    20.0 , 21.58082191780822 ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,            12,  3.4000000000000004 ,  1.8                ,  4.0                ,  2.1999999999999997 ,                       46,              422,                56,                8,                      146,                       18,                     32,              4,            12,               340,                2,                              0,                     196,                   36,    58.333333333333336,                     16,             386,                          68,      12,                     8,         41.666666666666664,                    20.0 , 24.421917808219177,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , True       , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        1,               59,                 1,                1,                       17,                        1,                      2,              0,             6,                33,                1,                              0,                      13,                    0,    50.0              ,                      0,              35,                           4,       6,                     3,         50.0              ,                     2.5 , 20.526027397260275,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    1,             2,  0.1                ,  0.1                ,  0.1                ,  0.2                ,                        8,              117,                 8,                2,                       32,                       11,                      9,              0,             7,                96,                2,                              0,                      46,                    3,    50.0              ,                      4,             107,                           9,       7,                     2,         75.0              ,                    20.0 , 28.156164383561645,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            32,  2.4                ,  2.4                ,  4.0                ,  4.6                ,                       62,              820,                72,               18,                      196,                       32,                     26,             10,            58,               630,                4,                              0,                     488,                   62,    34.166666666666664,                     30,             770,                         140,      58,                    12,         22.916666666666668,                     5.0 , 28.64109589041096 ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             8,  0.7                ,  0.7                ,  0.2                ,  0.30000000000000004,                        8,               97,                 5,                2,                       15,                        1,                      3,              2,             0,                83,                0,                              1,                      73,                   15,    37.5              ,                      6,             105,                          21,       0,                     2,         31.25             ,                     5.0 , 22.473972602739725,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
   14,            47, 10.3                ,  5.7                ,  0.4                ,  0.6                ,                       22,              225,                 9,                9,                       29,                        2,                      6,              1,             0,               131,                5,                              0,                     216,                   80,    23.705555555555556,                     12,             286,                          73,       0,                    68,         56.76111111111111 ,                     5.0 , 33.821917808219176,  0,  0,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    6,            68,  6.2                ,  6.2                ,  9.799999999999999  ,  8.200000000000001  ,                      168,             1196,               102,               48,                      220,                       70,                     54,              2,           268,               814,               18,                              0,                     998,                  170,    25.25             ,                     56,            1078,                         312,     268,                    40,         47.916666666666664,                    42.0 , 23.057534246575344,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , True      , False
   10,            44,  7.0                ,  5.4                ,  2.6                ,  3.6                ,                       74,              804,                64,               38,                      196,                       36,                     44,              2,           126,               576,                2,                              4,                     574,                  112,    32.94285714285714 ,                     54,             746,                         202,     126,                    10,         32.142857142857146,                    65.0 , 24.246575342465754,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , True       , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    1,             2,  0.7                ,  0.7                ,  0.2                ,  0.0                ,                        7,               63,                 9,                2,                       19,                        3,                      6,              0,             6,                42,                1,                              0,                      28,                    3,    66.66666666666667 ,                      3,              43,                           7,       6,                     2,         27.766666666666666,                     2.5 , 25.97808219178082 ,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    4,            18,  2.5                ,  1.7                ,  2.8                ,  2.4                ,                       33,              538,                61,                8,                      126,                       33,                     39,              6,            49,               396,                3,                              0,                     272,                   37,    41.02307692307692 ,                     25,             458,                          68,      49,                     9,         39.1              ,                    18.0 , 34.178082191780824,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            16,  0.6000000000000001 ,  0.6000000000000001 ,  1.2000000000000002 ,  1.2000000000000002 ,                       39,              246,                15,               40,                       36,                       13,                     10,              2,            39,               135,                8,                              0,                     236,                   44,    47.48571428571429 ,                     24,             248,                          88,      39,                     6,         19.047619047619047,                     2.0 , 22.123287671232877,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             4,  0.8                ,  0.8                ,  0.0                ,  0.0                ,                        2,              158,                12,                6,                       74,                       10,                      4,              2,             6,               122,                0,                              0,                      26,                    6,    37.5              ,                      4,             124,                           6,       6,                     6,         41.675            ,                     2.5 , 20.797260273972604,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , True
    9,            95,  7.0                ,  7.0                ,  5.7                ,  4.0                ,                       82,              755,                68,               37,                      169,                       32,                     32,              4,            41,               561,               11,                              1,                     630,                  137,    43.211111111111116,                     45,             785,                         188,      41,                    37,         32.337037037037035,                    40.0 , 25.378082191780823,  0,  1,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             3,  0.1                ,  0.1                ,  0.9                ,  0.8                ,                       12,              320,                22,                6,                      113,                       22,                     21,              0,            23,               253,                4,                              0,                     126,                   13,    50.0              ,                      5,             231,                          40,      23,                     3,         33.325            ,                    35.0 , 27.46849315068493 ,  0,  1,  0,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.1                ,  0.1                ,  0.3                ,  0.1                ,                        3,               20,                 2,                0,                        8,                        0,                      1,              0,             1,                17,                0,                              0,                      12,                    3,     0.0              ,                      1,              20,                           5,       1,                     0,          0.0              ,                     2.5 , 29.72876712328767 ,  0,  0,  1,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.0                ,  0.0                ,  0.1                ,  0.0                ,                        2,               63,                 6,                2,                       19,                        7,                      5,              0,             3,                44,                1,                              0,                      16,                    0,   100.0              ,                      2,              45,                           2,       3,                     0,          0.0              ,                     4.3 , 24.75068493150685 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False
    0,            13,  0.3                ,  0.3                ,  0.2                ,  0.0                ,                       10,              406,                49,               10,                      144,                       33,                     47,              3,             4,               326,                5,                              0,                      79,                    3,    75.0              ,                     10,             272,                          10,       4,                     9,         33.339999999999996,                    10.0 , 24.835616438356166,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             4,  0.2                ,  0.2                ,  0.30000000000000004,  0.0                ,                        7,               92,                12,                6,                       27,                        5,                      6,              1,             0,                70,                2,                              0,                      50,                   11,    61.111111111111114,                      5,             106,                          21,       0,                    10,         35.111111111111114,                     2.8 , 29.205479452054796,  0,  0,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            14,  0.6000000000000001 ,  0.6000000000000001 ,  0.0                ,  0.0                ,                        4,              202,                 8,                8,                       44,                        8,                     10,              2,            22,               128,                6,                              2,                     112,                   16,    50.0              ,                     12,             154,                          38,      22,                     6,         16.666666666666668,                    14.0 , 28.375342465753423,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,            20,  1.7000000000000002 ,  1.7000000000000002 ,  1.7                ,  1.2000000000000002 ,                       39,              314,                28,               12,                       65,                       14,                     13,              4,            14,               241,                3,                              1,                     204,                   26,    29.633333333333333,                     34,             307,                          65,      14,                     4,         30.555555555555557,                    35.0 , 25.24109589041096 ,  0,  1,  1,  1, False    , False     , False     , True      , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    1,            15,  1.0                ,  1.0                ,  1.6                ,  1.3                ,                       26,              349,                37,                8,                       99,                       20,                     33,              2,            13,               301,                0,                              0,                     183,                   20,    32.142857142857146,                     16,             328,                          33,      13,                     2,         21.428571428571427,                    45.0 , 20.24109589041096 ,  0,  0,  1,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.1                ,  0.1                ,  0.0                ,  0.0                ,                        4,              100,                 6,                1,                       33,                        6,                     11,              0,             2,                78,                2,                              0,                      23,                    4,    50.0              ,                      2,              70,                           2,       2,                     4,         50.0              ,                     3.0 , 30.813698630136987,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        2,                9,                 1,                1,                        2,                        1,                      1,              0,             0,                 8,                2,                              0,                       6,                    1,    50.0              ,                      1,               7,                           2,       0,                     1,         50.0              ,                     0.7 , 20.04931506849315 ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.2                ,  0.0                ,                        4,               36,                 1,                7,                        4,                        1,                      2,              0,             0,                30,                2,                              0,                      37,                    7,    61.660000000000004,                      5,              43,                          12,       0,                     7,         46.660000000000004,                    12.0 , 23.586301369863016,  0,  0,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    1,             6,  0.5                ,  0.5                ,  1.6                ,  0.7                ,                       19,              259,                32,                9,                       94,                        8,                     24,              1,             9,               233,                3,                              0,                     104,                   17,    85.0              ,                      6,             209,                          22,       9,                     7,         62.5              ,                    10.0 , 21.654794520547945,  0,  1,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
   16,            70, 15.600000000000001  ,  9.0                ,  2.8                ,  2.4                ,                       52,              704,                78,               26,                      184,                       32,                     46,              4,            14,               558,                6,                              0,                     454,                  142,    23.157894736842106,                     32,             808,                         208,      14,                    32,         25.173684210526318,                    22.0 , 23.24109589041096 ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    4,            34,  7.2                ,  4.0                ,  1.6                ,  1.8                ,                       44,              428,                26,               32,                       86,                       14,                      6,              2,            40,               286,                8,                              0,                     330,                   72,    31.041666666666668,                     22,             474,                         130,      40,                    24,         46.39166666666667 ,                     5.0 , 26.586301369863016,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,             5,  0.8                ,  0.8                ,  0.1                ,  0.1                ,                        2,               30,                 2,                0,                        7,                        1,                      1,              0,             1,                22,                0,                              0,                      30,                    7,     0.0              ,                      2,              37,                          14,       1,                     2,         66.66666666666667 ,                     4.0 , 27.624657534246577,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , True      , False     , False     , False     , False
    0,            26,  2.2                ,  2.2                ,  4.6                ,  5.4                ,                       86,             1016,               108,               44,                      272,                       98,                     64,              4,           130,               680,               14,                              2,                     464,                   68,    48.333333333333336,                     36,             768,                         118,     130,                    16,         44.44166666666666 ,                     4.0 , 27.054794520547944,  0,  1,  1,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    4,            21,  3.6                ,  2.8000000000000003 ,  0.4                ,  0.5                ,                       19,              156,                10,                6,                       27,                        2,                      5,              1,             0,               116,                2,                              0,                     125,                   46,    45.0              ,                      1,             179,                          61,       0,                    17,         38.05             ,                    30.0 , 27.84931506849315 ,  0,  0,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            14,  0.8                ,  0.8                ,  0.7                ,  0.7                ,                       23,              322,                28,               17,                       98,                       18,                     22,              0,            10,               256,                2,                              1,                     151,                   16,    45.945454545454545,                     18,             288,                          35,      10,                     7,         37.88181818181818 ,                     8.0 , 22.35890410958904 ,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
